period,ratio,title
2023-02-20,9.31187,BTS
2023-02-21,10.144,BTS
2023-02-22,11.22237,BTS
2023-02-23,9.48157,BTS
2023-02-24,19.12275,BTS
2023-02-25,19.18268,BTS
2023-02-26,19.86823,BTS
2023-02-27,14.43505,BTS
2023-02-28,12.0729,BTS
2023-03-01,12.53757,BTS
2023-03-02,9.28067,BTS
2023-03-03,13.31133,BTS
2023-03-04,15.60793,BTS
2023-03-05,12.68033,BTS
2023-03-06,10.0441,BTS
2023-03-07,10.19271,BTS
2023-03-08,9.77114,BTS
2023-03-09,9.97676,BTS
2023-03-10,10.50271,BTS
2023-03-11,10.0367,BTS
2023-03-12,10.55972,BTS
2023-03-13,10.24209,BTS
2023-03-14,9.59336,BTS
2023-03-15,10.29192,BTS
2023-03-16,9.06584,BTS
2023-03-17,12.89246,BTS
2023-03-18,11.86998,BTS
2023-03-19,11.33753,BTS
2023-03-20,10.73773,BTS
2023-03-21,9.91817,BTS
2023-03-22,8.84653,BTS
2023-03-23,9.07056,BTS
2023-03-24,12.57416,BTS
2023-03-25,12.51759,BTS
2023-03-26,11.97773,BTS
2023-03-27,10.35994,BTS
2023-03-28,10.57207,BTS
2023-03-29,9.79786,BTS
2023-03-30,11.77211,BTS
2023-03-31,14.48421,BTS
2023-04-01,14.86694,BTS
2023-04-02,13.67902,BTS
2023-04-03,11.36267,BTS
2023-04-04,17.63448,BTS
2023-04-05,13.35982,BTS
2023-04-06,10.90519,BTS
2023-04-07,12.07829,BTS
2023-04-08,13.10324,BTS
2023-04-09,11.3162,BTS
2023-04-10,10.49956,BTS
2023-04-11,11.66054,BTS
2023-04-12,11.35863,BTS
2023-04-13,10.32919,BTS
2023-04-14,10.35388,BTS
2023-04-15,11.23741,BTS
2023-04-16,10.41516,BTS
2023-04-17,10.07733,BTS
2023-04-18,17.56939,BTS
2023-04-19,11.12226,BTS
2023-04-20,11.59859,BTS
2023-04-21,11.99075,BTS
2023-04-22,10.8998,BTS
2023-04-23,10.3761,BTS
2023-04-24,9.44902,BTS
2023-04-25,12.31511,BTS
2023-04-26,9.75184,BTS
2023-04-27,8.9682,BTS
2023-04-28,10.77993,BTS
2023-04-29,11.50251,BTS
2023-04-30,9.77361,BTS
2023-05-01,8.65753,BTS
2023-05-02,9.01803,BTS
2023-05-03,8.66852,BTS
2023-05-04,8.92196,BTS
2023-05-05,10.25533,BTS
2023-05-06,10.45153,BTS
2023-05-07,9.13184,BTS
2023-05-08,8.41756,BTS
2023-05-09,8.06985,BTS
2023-05-10,8.36391,BTS
2023-05-11,7.95941,BTS
2023-05-12,8.02024,BTS
2023-05-13,7.75783,BTS
2023-05-14,7.52707,BTS
2023-05-15,7.92664,BTS
2023-05-16,7.31652,BTS
2023-05-17,7.03929,BTS
2023-05-18,11.32069,BTS
2023-05-19,11.27512,BTS
2023-05-20,8.99042,BTS
2023-05-21,8.27031,BTS
2023-05-22,8.17401,BTS
2023-05-23,8.20117,BTS
2023-05-24,7.97894,BTS
2023-05-25,7.90868,BTS
2023-05-26,7.26309,BTS
2023-05-27,7.79914,BTS
