video_title,video_id
CAKE CAKE CAKE CAKE CAKE🍰#ITZY #있지 #LIA #리아 #CHAERYEONG #채령 #YUNA #유나#ITZY_CAKE #CakeChallenge,g7fxHwd0O8Y
왕! 하고 먹어버려 다 yeah like😋❤#ITZY #있지 #YEJI #예지 #RYUJIN #류진 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,oSX8fPX4B6c
It's a piece of cake🍰 cake🍰 cake🍰 cake🍰 cake🍰#ITZY #있지 #ITZY_CAKE #CakeChallenge,8MKvdaHhVVQ
🥊Title Match🥊 #YUNA vs #YEJI #ITZY #있지 #예지 #유나 #ITZY_KILLMYDOUBT #Title_Match,aitpkzrp2DM
🥊Title Match🥊 #CHAERYEONG vs #LIA #ITZY #있지 #리아 #채령 #ITZY_KILLMYDOUBT #Title_Match,VvMuhig74LE
🥊Title Match🥊 #RYUJIN vs #LIA #ITZY #있지 #리아 #류진 #ITZY_KILLMYDOUBT #Title_Match,7O04QXitiCM
🥊Title Match🥊 #RYUJIN vs #YUNA #ITZY #있지 #류진 #유나 #ITZY_KILLMYDOUBT #Title_Match,u_ZlcEos3r4
🥊Title Match🥊 #CHAERYEONG vs #YEJI #ITZY #있지 #예지 #채령 #ITZY_KILLMYDOUBT #Title_Match,oXwzk9nnfu0
🥊Title Match🥊 #LIA vs #YEJI #ITZY #있지 #예지 #리아 #ITZY_KILLMYDOUBT #Title_Match,ZEb8ijmV1j8
🥊Title Match🥊 #RYUJIN vs #CHAERYEONG #ITZY #있지 #류진 #채령 #ITZY_KILLMYDOUBT #Title_Match,yTz0xNTKPuQ
🥊Title Match🥊 #CHAERYEONG vs #YUNA #ITZY #있지 #채령 #유나 #ITZY_KILLMYDOUBT #Title_Match,JfBfWgEjtaI
🥊Title Match🥊 #LIA vs #YUNA #ITZY #있지 #리아 #유나 #ITZY_KILLMYDOUBT #Title_Match,Exw_NyB__Bg
🥊Title Match🥊 #RYUJIN vs #YEJI #ITZY #있지 #예지 #류진 #ITZY_KILLMYDOUBT#Title_Match,yMgz3LFNZCQ
🎬BOXING the Scene🎬 #예지 #YEJI,b4BZiWNQVoY
🎬BOXING the Scene🎬 #리아 #LIA,3OtkRCss0ww
🎬BOXING the Scene🎬 #류진 #RYUJIN,2NacE4ZKdvg
🎬BOXING the Scene🎬 #채령 #CHAERYEONG,h9cQ8WDEu9I
🎬BOXING the Scene🎬 #유나 #YUNA,avoQN7mKOzE
"ITZY ""None of My Business"" Cheer Guide",ffmGWmZ4XY0
[🔴LIVE] ITZY POP-UP STORE 어택🥊,cFq1nCYOtxE
📷 Selfie Behind#ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_NOMB #ITZY_NoneofMyBusiness,sGu2WG_W5EA
"ITZY ""None of My Business"" #ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_NOMB #ITZY_NoneofMyBusiness",6N2U27C2ZDM
"ITZY ""None of My Business"" Dance Practice (4K)",r_UVaimHwYo
"ITZY ""KILL MY DOUBT"" ALBUM DOCUMENTARY #2",EYrb-O_dgfQ
"ITZY ""BET ON ME"" M/V Reaction Video",mCaw4X_bDVM
"ITZY ""None of My Business"" M/V Reaction Video",MG1Dvqp3wEI
"ITZY ""None of My Business"" #LIA #RYUJIN #CHAERYEONG #ITZY #ITZY_KILLMYDOUBT #ITZY_NoneofMyBusiness",Ck0vZwDK5gA
"ITZY ""None of My Business"" #YEJI #YUNA #ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_NOMB #ITZY_NoneofMyBusiness",7R1Bdi6PKzA
"ITZY ""None of My Business"" Performance Video (4K)",4zwHs2QMvzY
"ITZY ""None of My Business"" #YUNA #유나 #ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_NoneofMyBusiness",de45B_mGrH0
"ITZY ""None of My Business"" #CHAERYEONG #채령 #ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_NoneofMyBusiness",E2VG7ToUxKg
"ITZY ""None of My Business"" #RYUJIN #류진 #ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_NoneofMyBusiness",H7ZkGijsv2c
"ITZY ""None of My Business"" #LIA #리아 #ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_NoneofMyBusiness",K4xOrFsH7TM
"ITZY ""None of My Business"" #YEJI #예지 #ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_NoneofMyBusiness",rXFvm6eoJH8
"💿 B-DAY TRACK #721 ""LIA"" BEHIND",9UvyMKX2O6Q
[COVER] B-DAY TRACK #721 “LIA” |  Keep Me Waiting by The Bonfyre,-3J9LsmImRY
"ITZY ""KILL MY DOUBT"" ALBUM DOCUMENTARY #1",zAWJM4yp2BE
BET ON #YUNA 💝🎉Thank you MIDZY for 10M VIEWS🎉#ITZY #MIDZY #ITZY_KILLMYDOUBT#ITZY_BETONME,nODDcveU6DE
BET ON #CHAERYEONG 💝🎉Thank you MIDZY for 10M VIEWS🎉 #ITZY #MIDZY #ITZY_KILLMYDOUBT#ITZY_BETONME,Z__u2t3_No0
BET ON #RYUJIN 💝🎉Thank you MIDZY for 10M VIEWS🎉#ITZY #MIDZY #ITZY_KILLMYDOUBT#ITZY_BETONME,5T2Ic5O29QI
BET ON #LIA 💝🎉Thank you MIDZY for 10M VIEWS🎉#ITZY #MIDZY #ITZY_KILLMYDOUBT#ITZY_BETONME,pQlSztrXQfA
BET ON #YEJI 💝🎉Thank you MIDZY for 10M VIEWS #ITZY #MIDZY #ITZY_KILLMYDOUBT#ITZY_BETONME,8FH_jHLogHM
