DATE,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI,keyword,view_log_like_sum,view_log_like_avg,count,trend,DAY,SENTIMENT,EVENT
2023-03-14,55000.0,55000.0,52800.0,53200.0,424000.0,-0.0256410256410256,1318.6943984732643,1706.5839273706438,62220.0,60677.75316591817,55160.0,49642.24683408183,29.304419954971024,49.28406129604357,-2.9197080291970767,4639674.0,-593600000.0,31.27925,0.0,0.0,0.0,3.442954938407561,화,146.808866446,
2023-03-15,54200.0,54600.0,52100.0,52800.0,443552.0,-0.0075187969924812,960.9748457280076,1557.4621110421165,61843.2,60655.0182815051,55185.0,49714.9817184949,12.316918560037422,30.44546565072552,-0.5649717514124242,4196122.0,-177420800.0,30.10779,0.0,0.0,0.0,3.4047839422575663,수,66.73653412099999,
2023-03-16,52200.0,52800.0,51300.0,51900.0,278293.0,-0.0170454545454545,597.9640867882335,1365.56250619134,61258.608,60528.06782828717,55250.0,49971.93217171283,5.78538702850589,15.802241847838138,-3.710575139146566,3917829.0,-250463700.0,33.17725,0.0,0.0,0.0,3.50186440007369,목,-92.242600369,
2023-03-17,53300.0,55800.0,53000.0,55100.0,499508.0,0.0616570327552985,562.0101977409649,1204.852044501265,60461.91936,60523.40091501232,55365.0,50206.59908498768,15.47858538149806,11.193630323347149,-5.000000000000004,4417337.0,1598425600.0,32.68381,0.0,0.0,0.0,3.486879848263611,금,727.057377205,74.975730826
2023-03-20,55500.0,55500.0,54200.0,54700.0,231373.0,-0.0072595281306715,495.5276898236916,1062.9871735657505,59728.9658112,60290.496802662485,55560.0,50829.50319733752,23.423423423423483,14.8957986111425,-4.869565217391303,4185964.0,-92549200.0,34.54296,0.0,0.0,0.0,3.603060105518306,월,330.8776256074333,38.87840433016666
2023-03-21,55600.0,57700.0,55500.0,56500.0,488702.0,0.0329067641681901,581.3829592352486,966.66633069965,59054.648546304,60343.60368509792,55725.0,51106.396314902086,37.237237237237295,25.379748680719636,-1.0507880910682998,4674666.0,879663600.0,39.13741,0.0,0.0,0.0,3.667078787065083,화,1054.0683252545,
2023-03-22,57000.0,57000.0,55400.0,55500.0,286518.0,-0.0176991150442478,562.25095710202,885.783255980124,58434.27666259968,60349.21610401618,55805.0,51260.78389598382,38.438438438438496,33.033033033033114,-2.9720279720279685,4388148.0,-286518000.0,37.76199,0.0,0.0,0.0,3.631303041159823,수,538.2713375049,
2023-03-23,54700.0,55900.0,53900.0,55200.0,329437.0,-0.0054054054054053,516.9224544950484,812.0110956831088,57863.53452959171,60354.15551349308,55840.0,51325.84448650692,39.93993993994,38.53853853853861,-7.226890756302517,4058711.0,-98831100.0,34.44193,0.0,0.0,0.0,3.5392747174783428,목,252.29627245,76.27501260300001
2023-03-24,55800.0,57700.0,55000.0,57300.0,441416.0,0.0380434782608696,643.0391837403586,778.2167132945588,51300.0,60495.46355244141,55965.0,51434.5364475586,42.3423423423424,40.24024024024032,-4.975124378109452,4500127.0,926973600.0,36.55364,0.0,0.0,0.0,3.598780770840355,금,81.2233973315,
2023-03-27,57200.0,57600.0,55400.0,56300.0,348097.0,-0.0174520069808028,654.7484253571602,753.523055707079,51428.0,60461.300266356106,56125.0,51788.69973364389,44.7447447447448,42.34234234234242,-3.595890410958902,4152030.0,-348097000.0,35.30838,0.0,0.0,0.0,3.529469867582288,월,104.7688641732333,
2023-03-28,56800.0,58100.0,56300.0,58000.0,441296.0,0.0301953818827709,792.0733477024405,761.2331141061513,51553.44,60613.50323917235,56330.0,52046.49676082765,57.57515757515764,48.22074822074831,0.8695652173912993,4593326.0,750203200.0,49.51527,0.0,0.0,0.0,3.902281106851462,화,154.746945555,
2023-03-29,57500.0,57900.0,56800.0,57600.0,250845.0,-0.0068965517241379,858.728790021938,780.7322492893087,51815.3024,60565.77255031328,56310.0,52054.22744968672,65.16689565470058,55.82893265820104,5.494505494505497,4342481.0,-100338000.0,53.58715,0.0,0.0,0.0,3.981309300528845,수,432.398648561,
2023-03-30,57700.0,57900.0,56200.0,57000.0,290373.0,-0.0104166666666666,853.3023839757079,795.2462762265885,52066.690304,60518.33202099717,56285.0,52051.66797900283,78.09305711027382,66.94503678004405,7.14285714285714,4052108.0,-174223800.0,79.85815,0.0,0.0,0.0,4.380251935827055,목,0.312378155,
2023-03-31,57000.0,57900.0,56200.0,56700.0,213198.0,-0.0052631578947368,815.3950586235223,799.2760327059752,52308.02269184,60486.504471157175,56265.0,52043.495528842825,80.0215208034434,74.42715785613929,7.3863636363636465,3838910.0,-63959400.0,89.09176,0.0,0.0,0.0,4.489666849841044,금,163.534223538,
2023-04-03,56500.0,57500.0,55500.0,55800.0,321418.0,-0.0158730158730159,704.6084640185509,780.3425189684904,52539.7017841664,60398.55801672821,56195.0,51991.44198327179,76.47058823529419,78.19505538300383,7.514450867052025,3517492.0,-289276200.0,59.19571,0.0,0.0,0.0,4.043434540342894,월,64.88832531533333,
