Date,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI
2023-02-17,132300,132900,126000,130100,2031182,-0.013646702047005355,12533.788315268961,8558.64566738243,113362.9696,132062.02090733743,97720.0,63377.97909266259,92.85451408871334,92.820382624972,50.05767012687428,29826499.0,-3656127600.0
2023-02-20,125000,125500,121700,121800,1686067,-0.06379707916986932,12445.011882994586,9335.91891050486,117410.37568,134431.05628096737,99970.0,65508.94371903264,88.36226049020769,91.48489285464892,36.7003367003367,28140432.0,-13994356100.0
2023-02-21,124400,125500,122000,123500,1069774,0.013957307060755264,12369.246736534667,9942.584475710823,120648.300544,136990.79427670178,101990.0,66989.20572329822,82.44049966035384,87.8857580797583,35.71428571428572,29210206.0,1818615800.0
2023-02-22,123400,125800,120100,121100,1166770,-0.019433198380566785,11977.473510829208,10349.5622827345,133600.0,138514.0594074679,104015.0,69515.94059253209,76.06123869171888,82.28799961409347,31.344902386117134,28043436.0,-2800248000.0
2023-02-23,122500,127300,120600,126300,1832085,0.04293971924029738,11948.848066064777,10669.419439400555,133330.0,140313.07494550242,106315.0,72316.92505449758,79.1927627000696,79.2315003507141,40.17758046614872,29875521.0,9526842000.0
2023-02-24,126000,126000,120700,121000,1659938,-0.04196357878068091,11367.459491778514,10809.027449876146,133065.4,140962.24931143946,108240.0,75517.75068856054,77.45302713987475,77.5690095105544,22.59371833839918,28215583.0,-8797671400.0
2023-02-27,122000,127100,119300,120300,2114459,-0.005785123966942196,10726.57146928324,10792.536253757566,132806.092,141266.35018686182,110020.0,78773.64981313818,75.46897401715422,77.37158795236617,22.131979695431482,26101124.0,-1480121300.0
2023-02-28,121200,128000,118700,127600,3477054,0.060681629260182834,10684.547275370613,10770.938458080174,132265.84832,142421.8342642254,112000.0,81578.16573577457,75.27195699804192,76.06465271835695,11.246730601569311,29578178.0,25382494200.0
2023-03-02,126000,131100,123700,128000,1256953,0.0031347962382444194,10561.769946517481,10729.104755767636,131451.8974208,142902.70275177967,114065.0,85227.29724822035,76.94263233295754,75.89452111605122,10.344827586206895,30835131.0,502781200.0
2023-03-03,127400,131000,124500,129200,1073133,0.009374999999999911,10440.941327655135,10671.472070145135,131100.0,143212.1517201566,116070.0,88927.8482798434,79.94648018509909,77.38702317203284,10.616438356164393,31908264.0,1287759600.0
2023-03-06,125300,134900,124700,130100,2431975,0.006965944272445901,10299.084816265487,10596.994619369205,118700.0,143225.7043552358,118025.0,92824.2956447642,76.71288674210801,77.86733308672154,6.117455138662309,34340239.0,2188777500.0
2023-03-07,147200,149700,146500,149700,3609572,0.15065334358186,11634.107950461446,10804.417285587653,119024.0,146770.60107535194,120900.0,95029.39892464808,83.81047863057442,80.15661518592718,13.495072024260812,37949811.0,70747611200.0
2023-03-08,154100,161200,150600,158500,2568990,0.05878423513694053,13249.478121692344,11293.429452808592,120251.04,151069.32522513418,124320.0,97570.67477486582,89.37171464330413,83.29836000532886,21.829362029208312,40518801.0,22607112000.0
2023-03-09,157000,157000,152600,154900,1073416,-0.022712933753943232,14076.910841355391,11850.125730517952,122707.9776,154327.28662936803,127130.0,99932.71337063199,92.94117647058823,88.70778991482227,27.175697865353033,39445385.0,-3864297600.0
2023-03-10,152000,154000,146000,147800,3601004,-0.045836023240800494,13998.381936916398,12279.77697179764,125017.49894399999,154831.9154216596,129595.0,104358.08457834041,82.4313725490196,88.24808788763733,19.67611336032389,35844381.0,-25567128400.0
2023-03-13,135000,135000,111300,113100,5457572,-0.23477672530446547,11009.239553815583,12025.669488201229,161200.0,154949.6436971309,129515.0,104080.35630286911,52.41809108412903,75.93021336791229,-6.606110652353426,30386809.0,-189377748400.0
2023-03-14,114400,118000,112500,115200,2469659,0.018567639257294433,8709.378831399663,11362.411356840916,160202.0,154996.90235856254,129475.0,103953.09764143746,26.631144642225618,53.826869425124755,-8.78859857482185,32856468.0,5186283900.0
2023-03-15,114600,116300,113400,113400,1124623,-0.015625,6664.651726015116,10422.859430675755,159223.96,155204.84362887157,129305.0,103405.15637112841,5.210420841683356,28.08655218934601,-6.280991735537189,31731845.0,-2024321400.0
2023-03-16,112200,113900,111300,111600,971273,-0.015873015873015928,4843.117364519931,9306.91101744459,158265.4808,155649.12389351992,128755.0,101860.87610648006,4.208416833667324,12.016660772525439,-7.231920199501252,30760572.0,-1748291400.0
2023-03-17,111900,113000,107500,113000,1195671,0.012544802867383575,3472.477994522036,8140.02441286008,157326.17118399998,155511.76167683204,127810.0,100108.23832316796,5.017234966518998,4.812024213956565,-11.442006269592476,31956243.0,1673939400.0
2023-03-20,111000,113700,109200,113300,826024,0.0026548672566371057,2382.9744653838425,6988.614423364832,155333.12433663997,155353.5233894596,126970.0,98586.4766105404,7.214677648282276,5.480109816156205,-11.484375000000002,32782267.0,247807200.0
2023-03-21,115000,115000,111500,113500,753541,0.001765225066195919,1518.1728460831655,5894.5261079084985,153419.79936317436,155466.55305409932,126555.0,97643.44694590068,10.73867163252637,7.656861415775887,-12.151702786377705,33535808.0,150708200.0
2023-03-22,113200,113800,111100,112000,836391,-0.013215859030836996,703.6624851372471,4856.353383354248,151583.00738864738,155561.386039197,125980.0,96398.61396080299,10.117939168218486,9.357096149675717,-13.912375096079943,32699417.0,-1254586500.0
2023-03-23,111400,112400,106100,107200,326147,-0.042857142857142816,-325.411586659553,3820.0003893514877,149819.6870931015,155926.49310983391,125285.0,94643.50689016607,7.183147620544315,9.34658614042973,-28.390113560454246,32373270.0,-1565505600.0
2023-03-24,106400,110600,104100,107200,322573,0.0,-1127.9578071651922,2830.408750048152,147196.5058675154,155960.0553271726,124330.0,92699.9446728274,5.268443435981312,7.523176741581377,-32.36593059936909,32373270.0,0.0
2023-03-27,105800,106300,90500,91100,1695358,-0.1501865671641791,-3028.2096003571933,1658.6850799670829,143748.78539811418,157622.1973576487,122835.0,88047.80264235131,2.7580327779961205,5.069874611507255,-41.187863137508074,30677912.0,-27295263800.0
2023-03-28,88200,95700,87600,94300,2789272,0.03512623490669586,-4227.23069644373,481.50192468492014,138423.90685830277,158480.27168664482,121535.0,84589.72831335517,5.31063559080176,4.445703934926403,-36.19756427604871,33467184.0,8925670400.0
2023-03-29,94300,98400,93000,97400,843826,0.0328738069989396,-4871.167672620431,-589.0319947761502,132325.03803530644,158299.9983670803,120025.0,81750.0016329197,8.420623704376903,5.496430691058268,-13.881520778072499,34311010.0,2615860600.0
2023-03-30,97900,98900,94100,94100,700700,-0.033880903490759784,-5583.412680478301,-1587.9081319165805,126958.03347106966,158018.59281959996,118330.0,78641.40718040006,12.708764995902078,8.813341430360254,-18.31597222222222,33610310.0,-2312310000.0
2023-03-31,93200,94900,92500,93200,443511,-0.009564293304994642,-6149.605633295956,-2500.2476321924555,122235.0694545413,157333.14203587756,116530.0,75726.85796412242,15.631056314977863,12.253481671752288,-17.813051146384485,33166799.0,-399159900.0
2023-04-03,93200,96300,93200,94400,446579,0.012875536480686733,-6427.396628998729,-3285.6774315537104,118078.86111999635,156136.66461982412,114745.0,73353.33538017588,18.609170863765346,15.649664058215103,-15.412186379928317,33613378.0,535894800.0
2023-04-04,94500,96800,93000,96100,420019,0.018008474576271194,-6436.179926156183,-3915.777930474205,114421.39778559678,150919.8208077196,112065.0,73210.1791922804,24.378776744246213,19.539667974329817,-14.955752212389385,34033397.0,714032300.0
2023-04-05,96200,98500,94400,96200,408617,0.0010405827263266776,-6361.737439015662,-4404.969832182496,111202.83005132517,141964.87543517316,108950.0,75935.12456482684,28.700712971676108,23.89622019322923,-15.092674315975286,34442014.0,40861700.0
2023-04-06,96200,101600,96100,98000,615805,0.018711018711018657,-6087.325377136163,-4741.4409411732295,108370.49044516616,131781.95270081714,106105.0,80428.04729918287,33.45498783454986,28.844825850157406,-13.656387665198233,35057819.0,1108449000.0
2023-04-07,98800,99400,93400,97600,364670,-0.004081632653061273,-5834.867774499668,-4960.126307838517,105878.03159174621,120940.83235247014,103595.0,86249.16764752986,35.27980535279804,32.478502053008015,-12.857142857142856,34693149.0,-145868000.0
2023-04-10,97400,97400,94800,95800,295454,-0.018442622950819665,-5714.1688804169535,-5110.934822354205,103684.66780073667,119817.08284055532,102730.0,85642.91715944468,35.25008822272988,34.6616271366926,-10.634328358208956,34397695.0,-531817200.0
2023-04-11,96000,98500,95800,97400,252215,0.016701461377870652,-5426.8501584955375,-5174.117889582471,101754.50766464828,118069.03570764449,101840.0,85610.96429235551,35.77006310696188,35.43331889416328,-9.141791044776115,34649910.0,403544000.0
2023-04-12,97400,98600,94100,95200,412709,-0.022587268993839782,-5315.3970269788115,-5202.37371706174,100055.96674489048,116491.50378337518,100930.0,85368.49621662482,34.619105738930564,35.21308568954078,4.500548847420416,34237201.0,-907959800.0
2023-04-13,95500,104800,95500,101700,1271206,0.06827731092436973,-4648.983353830612,-5091.695644415514,87600.0,115217.7297885066,100435.0,85652.2702114934,49.32022560394805,39.90313148328017,7.847295864262982,35508407.0,8262839000.0
2023-04-14,101000,108000,100000,105500,596209,0.03736479842674534,-3770.7506087278452,-4827.50663727798,87944.0,113899.13292081552,100060.0,86220.86707918448,65.39654860626727,49.77862664971531,8.316221765913756,36104616.0,2265594200.0
